president,party,term,vp,term_start,term_end,president_no,president_name,president_name_norm,president_birth_dt,president_death_dt
1. George Washington (1732-1799),"None, Federalist",1789-1797,John Adams,1789,1797,1,George Washington ,george washington ,1732,1799
2. John Adams (1735-1826),Federalist,1797-1801,Thomas Jefferson,1797,1801,2,John Adams ,john adams ,1735,1826
3. Thomas Jefferson (1743-1826),Democratic-Republican,1801-1809,"Aaron Burr, George Clinton",1801,1809,3,Thomas Jefferson ,thomas jefferson ,1743,1826
4. James Madison (1751-1836),Democratic-Republican,1809-1817,"George Clinton, Elbridge Gerry",1809,1817,4,James Madison ,james madison ,1751,1836
5. James Monroe (1758-1831),Democratic-Republican,1817-1825,Daniel Tompkins,1817,1825,5,James Monroe,james monroe,1758,1831
6. John Quincy Adams (1767-1848),Democratic-Republican,1825-1829,John Calhoun,1825,1829,6,John Quincy Adams ,john quincy adams ,1767,1848
7. Andrew Jackson (1767-1845),Democrat,1829-1837,"John Calhoun, Martin van Buren",1829,1837,7,Andrew Jackson,andrew jackson,1767,1845
8. Martin van Buren (1782-1862),Democrat,1837-1841,Richard Johnson,1837,1841,8,Martin van Buren,martin van buren,1782,1862
9. William H. Harrison (1773-1841),Whig,1841,John Tyler,1841,,9,William H. Harrison,william h harrison,1773,1841
10. John Tyler (1790-1862),Whig,1841-1845,.,1841,1845,10,John Tyler,john tyler,1790,1862
11. James K. Polk (1795-1849),Democrat,1845-1849,George Dallas,1845,1849,11,James K. Polk,james k polk,1795,1849
12. Zachary Taylor (1784-1850),Whig,1849-1850,Millard Fillmore,1849,1850,12,Zachary Taylor,zachary taylor,1784,1850
13. Millard Fillmore (1800-1874),Whig,1850-1853,.,1850,1853,13,Millard Fillmore,millard fillmore,1800,1874
14. Franklin Pierce (1804-1869),Democrat,1853-1857,William King,1853,1857,14,Franklin Pierce,franklin pierce,1804,1869
15. James Buchanan (1791-1868),Democrat,1857-1861,John Breckinridge,1857,1861,15,James Buchanan,james buchanan,1791,1868
16. Abraham Lincoln (1809-1865),Republican,1861-1865,"Hannibal Hamlin, Andrew Johnson",1861,1865,16,Abraham Lincoln ,abraham lincoln ,1809,1865
17. Andrew Johnson (1808-1875),National Union,1865-1869,.,1865,1869,17,Andrew Johnson,andrew johnson,1808,1875
18. Ulysses S. Grant (1822-1885),Republican,1869-1877,Schuyler Colfax,1869,1877,18,Ulysses S. Grant,ulysses s grant,1822,1885
19. Rutherford Hayes (1822-1893),Republican,1877-1881,William Wheeler,1877,1881,19,Rutherford Hayes,rutherford hayes,1822,1893
20. James Garfield (1831-1881),Republican,1881,Chester Arthur,1881,,20,James Garfield,james garfield,1831,1881
21. Chester Arthur (1829-1886),Republican,1881-1885,.,1881,1885,21,Chester Arthur,chester arthur,1829,1886
22. Grover Cleveland (1837-1908),Democrat,1885-1889,Thomas Hendriks,1885,1889,22,Grover Cleveland,grover cleveland,1837,1908
23. Benjamin Harrison (1833-1901),Republican,1889-1893,Levi Morton,1889,1893,23,Benjamin Harrison,benjamin harrison,1833,1901
24. Grover Cleveland (1837-1908),Democrat,1893-1897,Adlai Stevenson,1893,1897,24,Grover Cleveland,grover cleveland,1837,1908
25. William McKinley (1843-1901),Republican,1897-1901,"Garret Hobart, Theodore Roosevelt",1897,1901,25,William McKinley,william mckinley,1843,1901
26. Theodore Roosevelt (1858-1919),Republican,1901-1909,Charles Fairbanks,1901,1909,26,Theodore Roosevelt,theodore roosevelt,1858,1919
27. William Taft (1857-1930),Republican,1909-1913,James Sherman,1909,1913,27,William Taft,william taft,1857,1930
28. Woodrow Wilson (1856-1924),Democrat,1913-1921,Thomas Marshall,1913,1921,28,Woodrow Wilson,woodrow wilson,1856,1924
29. Warren Harding (1865-1923),Republican,1921-1923,Calvin Coolidge,1921,1923,29,Warren Harding,warren harding,1865,1923
30. Calvin Coolidge (1872-1933),Republican,1923-1929,Charles Dawes,1923,1929,30,Calvin Coolidge,calvin coolidge,1872,1933
31. Herbert C. Hoover (1874-1964),Republican,1929-1933,Charles Curtis,1929,1933,31,Herbert C. Hoover,herbert c hoover,1874,1964
32. Franklin Delano Roosevelt (1882-1945),Democrat,1933-1945,"John Garner, Henry Wallace, Harry S. Truman",1933,1945,32,Franklin Delano Roosevelt ,franklin delano roosevelt ,1882,1945
33. Harry S Truman (1884-1972),Democrat,1945-1953,Alben Barkley,1945,1953,33,Harry S Truman,harry s truman,1884,1972
34. Dwight David Eisenhower (1890-1969),Republican,1953-1961,Richard Milhous Nixon,1953,1961,34,Dwight David Eisenhower ,dwight david eisenhower ,1890,1969
35. John Fitzgerald Kennedy (1917-1963),Democrat,1961-1963,Lyndon Johnson,1961,1963,35,John Fitzgerald Kennedy ,john fitzgerald kennedy ,1917,1963
36. Lyndon Baines Johnson (1908-1973),Democrat,1963-1969,Hubert Humphrey,1963,1969,36,Lyndon Baines Johnson,lyndon baines johnson,1908,1973
37. Richard Milhous Nixon (1913-1994),Republican,1969-1974,"Spiro Agnew, Gerald R. Ford",1969,1974,37,Richard Milhous Nixon,richard milhous nixon,1913,1994
38. Gerald R. Ford (1913- 2006),Republican,1974-1977,Nelson Rockefeller,1974,1977,38,Gerald R. Ford ,gerald r ford ,1913,2006
"39. James (Jimmy) Earl Carter, Jr. (1924- )",Democrat,1977-1981,Walter Mondale,1977,1981,39,"James (Jimmy) Earl Carter, Jr.","james jimmy earl carter, jr",1924, 
40. Ronald Wilson Reagan (1911- 2004),Republican,1981-1989,George H. W. Bush,1981,1989,40,Ronald Wilson Reagan ,ronald wilson reagan ,1911,2004
41. George H. W. Bush (1924- ),Republican,1989-1993,James Danforth (Dan) Quayle,1989,1993,41,George H. W. Bush,george h w bush,1924, 
42. William (Bill) Jefferson Clinton (1946- ),Democrat,1993-2001,Al Gore,1993,2001,42,William (Bill) Jefferson Clinton,william bill jefferson clinton,1946, 
43. George W. Bush (1946- ),Republican,2001-2009,Richard Cheney,2001,2009,43,George W. Bush ,george w bush ,1946, 
44. Barack Obama (1961- ),Democrat,2009-,Joseph Biden,2009,,44,Barack Obama ,barack obama ,1961, 
